Date;Team_Home;Team_Away;League;Class_Home;Class_Away;Home_Prediction;Draw_Prediction;Away_Prediction;Odd_Home;Odd_Draw;Odd_Away;Result;_Double result;Goals
2023-01-22;Athletic Bilbau;Real Madrid;Espanha 1;8;2;28;26;46;3,05;3,60;2,50;Away;Draw_Away;One
2023-01-22;Casa Pia;Gil Vicente;Portugal 1;5;15;37;27;36;2,40;3,25;3,30;Away;Away_Home;More_Two
2023-01-22;E. Amadora;Penafiel;Portugal 2;4;9;42;28;31;2,30;3,20;3,17;Home;Home_Draw;Two
2023-01-22;Arsenal;Manchester United;Inglaterra 1;1;3;58;21;21;1,93;4,00;4,35;Home;Home_Draw;More_Two
2023-01-24;Hertha Berlim;Wolfsburgo;Alemanha 1;17;7;39;26;35;3,00;3,60;2,58;Away;Draw_Away;Two
2023-01-24;Hoffenheim;Estugarda;Alemanha 1;13;16;53;22;25;2,09;3,86;3,75;Draw;Home_Draw;More_Two
2023-01-24;Arouca;Sporting;Portugal TL;10;4;10;25;65;8,20;4,75;1,44;Away;Draw_Away;More_Two
2023-01-24;Lázio;Milan;Itália 1;4;2;32;25;42;3,20;3,55;2,46;Home;Away_Home;More_Two
2023-01-24;Southampton;Newcastle;Inglaterra TL;4;2;27;24;49;5,10;3,70;1,81;Away;Draw_Away;More_Two
2023-01-25;Augsburgo;Monchagladbach;Alemanha 1;15;8;30;23;47;3,20;3,70;2,39;Home;Away_Home;Two
2023-01-25;Leverkusen;Bochum;Alemanha 1;12;14;67;19;14;1,49;5,00;7,50;Home;Home_Draw;More_Two
2023-01-25;Mainz;Dortmund;Alemanha 1;11;7;25;22;54;3,10;3,86;2,36;Away;Draw_Away;More_Two
2023-01-25;Werder Bremen;Union Berlim;Alemanha 1;9;3;31;25;44;2,88;3,46;2,68;Away;Draw_Away;More_Two
2023-01-25;Nottingam Forest;Manchester United;Inglaterra TL;6;3;26;24;50;5,60;3,98;1,73;Away;Draw_Away;More_Two
2023-01-25;Friburgo;Frankfurt;Alemanha 1;4;2;41;24;35;2,60;3,64;2,82;Draw;Home_Draw;One
2023-01-25;Porto;Académico Viseu;Portugal TL;2;1;65;25;10;1,14;8,50;19,00;Home;Home_Draw;Two
2023-01-26;Groningen;Cambuur;Países Baixos 1;15;18;41;24;35;2,23;3,50;3,33;Away;Away_Home;More_Two
2023-01-26;Ajax;Volendam;Países Baixos 1;4;17;84;10;6;1,12;13,00;23,00;Draw;Home_Draw;Two
2023-01-28;Real Valladolid;Valência;Espanha 1;18;12;31;27;41;3,25;3,32;2,50;Home;Away_Home;One
2023-01-28;Osasuna;Atlético Madrid;Espanha 1;7;4;23;25;51;3,95;3,36;2,26;Away;Draw_Away;More_Two
2023-01-28;Lázio;Fiorentina;Itália 1;3;11;47;25;27;2,18;3,45;4,00;Draw;Home_Draw;Two
2023-01-28;Real Madrid;Real Sociedad;Espanha 1;2;3;55;23;22;1,75;4,10;5,35;Draw;Home_Draw;More_Two
2023-01-28;Nápoles;Roma;Itália 1;1;5;52;25;24;1,79;3,90;5,40;Home;Home_Draw;One
2023-01-29;Famalicão;Estoril;Portugal 1;15;13;48;27;26;2,15;3,30;3,80;Home;Home_Draw;More_Two
2023-01-29;Leixões;Penafiel;Portugal 2;13;10;37;28;35;2,80;3,13;2,60;Home;Away_Home;More_Two
2023-01-29;Mafra;Oliveirense;Portugal 2;12;11;44;26;30;1,90;3,60;4,30;Away;Away_Home;More_Two
2023-01-29;Boavista;Portimonense;Portugal 1;11;12;51;26;23;2,26;3,32;3,75;Home;Home_Draw;More_Two
2023-01-29;Vizela;Rio Ave;Portugal 1;9;10;37;28;35;1,96;3,60;4,40;Home;Home_Draw;More_Two
2023-01-29;Tondela;Nacional;Portugal 2;8;15;46;27;28;1,87;3,50;4,33;Home;Home_Draw;More_Two
